id;id_tg_user;first_name;registration_date;user_role;is_admin;score;is_blocked;chat_id;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;49558;Jennyfer;2022-11-22T21:03:28;hack;false;6943;true;11959;true;2022-11-23T04:52:03;2022-11-22T21:52:47;74199;Developer Chief;true
2;63527;Darrell;2022-11-22T14:54:38;up Quality;false;33098;false;46531;false;2022-11-22T15:56:10;2022-11-23T03:28:16;46227;Shoes;true
3;86775;Kiley;2022-11-23T06:29:41;matrix;false;55005;false;83895;true;2022-11-23T04:24:32;2022-11-23T01:22:51;13632;magnetic;false
4;2861;Trever;2022-11-22T23:13:25;Persistent dot-com incentivize;true;85693;true;2198;false;2022-11-22T18:30:28;2022-11-23T10:28:19;62200;Account communities synthesize;false
5;20997;Cale;2022-11-22T23:41:20;Distributed teal;true;82889;true;32550;true;2022-11-23T02:28:25;2022-11-22T14:25:28;57155;Towels Cotton Borders;true
6;3134;Verona;2022-11-23T01:11:46;Table;false;24954;false;47593;false;2022-11-23T04:41:48;2022-11-23T04:50:17;96660;Kwacha object-oriented Money;false
7;38023;Weston;2022-11-23T08:39:11;programming optical;true;74398;true;44697;false;2022-11-22T20:40:39;2022-11-22T20:55:51;44397;Moldova Forward Unbranded;false
8;90065;Timothy;2022-11-22T17:55:40;Mobility;false;88099;false;56600;true;2022-11-23T10:46:58;2022-11-23T04:34:50;95335;Denar Principal;false
9;22971;Jamie;2022-11-22T19:41:07;interactive Networked violet;false;4411;false;57410;true;2022-11-23T08:02:33;2022-11-23T06:56:09;42311;North;true
10;4494;Rylan;2022-11-22T19:47:28;Infrastructure;true;41449;false;37617;true;2022-11-23T08:17:29;2022-11-23T13:14:01;43792;withdrawal purple user-centric;true
